,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Importe,Estado,Causa
0,141/21,"El servicio de consultoría técnica para la realización del diagnóstico participativo y del mapa de activos para la salud de la estrategía ""Alicante ciudad saludable"". Una vez logrados los objetivos del citado diagnóstico y mapeo, conforme a los indicado en la cláusula 1 de la memoria del órgano gestor, el objeto último será difundir, sensibilidzar y concienciar sobre los principales problemas de salud y bienestar del municipio, elaborando programas que permitan a los ciudadanos crear hábitos saludables y un estilo de vida más sano, mejorando así, su calidad de vida.",NaN,Servicios,Ordinario,49980.01,Desierto,NaN
1,117/21,"Suministro de trabajos de imprenta y productos relacionados para el Servicio Centralizado del Excmo. Ayuntamiento de Alicante, reservado a centros especiales de empleo de iniciativa social y a empresas de inserción.",NaN,Suministros,Ordinario,84700.0,Desierto,NaN
2,17/22,Servicio de mantenimiento de los sistemas de almacenamiento de datos de los Centros de Datos Municipales,NaN,Servicios,Ordinario,51791.39,Desierto,NaN
3,44/22,"Gestión y ejecución del ""Programa de acciones culturales EDUSI-PANORAMA Las Cigarreras"", cofinanciado por el Fondo Europeo de Desarrollo Regional (FEDER), dentro del Eje 12 ""Desarrollo Urbano"" del Programa Operativo de Crecimiento Sostenible, para la programación 2014-2020. Una manera de hacer Europa.",NaN,Servicios,Ordinario,127534.0,Desierto,NaN
4,86/22,Suministro de material técnico para la Banda Sinfónica Municipal de Música.,NaN,Suministros,Ordinario,74255.1,Desierto,NaN
5,111/22,"Contrato de obras de reposición de escaleras de acceso al barranco de Orgegia, en Alicante. ",NaN,Obras,Ordinario,120734.85,Desierto,NaN
6,79/22,Servicio de gestión y ejecución de las actividades formativas para familias,NaN,Servicios,Ordinario,79811.6,Desierto,NaN
7,103/22,Servicio de mantenimiento de pavimentos deportivos en la ciudad de Alicante por lotes. Lote 1: Céspedes artificiales (fútbol y padel) y otros pavimentos deportivos. Lote 2: Céspedes naturales y zonas verdes en dependencias deportivas. ,NaN,Servicios,Ordinario,2224011.77,Desierto,NaN
8,141/21,"El servicio de consultoría técnica para la realización del diagnóstico participativo y del mapa de activos para la salud de la estrategía ""Alicante ciudad saludable"". Una vez logrados los objetivos del citado diagnóstico y mapeo, conforme a los indicado en la cláusula 1 de la memoria del órgano gestor, el objeto último será difundir, sensibilidzar y concienciar sobre los principales problemas de salud y bienestar del municipio, elaborando programas que permitan a los ciudadanos crear hábitos saludables y un estilo de vida más sano, mejorando así, su calidad de vida.",NaN,Servicios,Ordinario,49980.01,Desierto,NaN
9,117/21,"Suministro de trabajos de imprenta y productos relacionados para el Servicio Centralizado del Excmo. Ayuntamiento de Alicante, reservado a centros especiales de empleo de iniciativa social y a empresas de inserción.",NaN,Suministros,Ordinario,84700.0,Desierto,NaN
10,08/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( casetas ) en el Mercado Municipal de Carolinas, dividido en cuatro lotes ",NaN,Patrimonial,Ordinario,2000.0,Desierto,NaN
11,08/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( casetas ) en el Mercado Municipal de Carolinas, dividido en cuatro lotes ",NaN,Patrimonial,Ordinario,2000.0,Desierto,NaN
12,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",NaN,Patrimonial,Ordinario,1507.0,Desierto,NaN
13,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",NaN,Patrimonial,Ordinario,1850.0,Desierto,NaN
14,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",NaN,Patrimonial,Ordinario,1200.0,Desierto,NaN
15,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",NaN,Patrimonial,Ordinario,1200.0,Desierto,NaN
16,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",NaN,Patrimonial,Ordinario,1200.0,Desierto,NaN
17,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",NaN,Patrimonial,Ordinario,1665.0,Desierto,NaN
18,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",NaN,Patrimonial,Ordinario,832.0,Desierto,NaN
19,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",NaN,Patrimonial,Ordinario,1850.0,Desierto,NaN
20,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",NaN,Patrimonial,Ordinario,1850.0,Desierto,NaN
21,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",NaN,Patrimonial,Ordinario,925.0,Desierto,NaN
22,07/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y casetas ) en el Mercado Municipal de Benalúa, dividido en trece lotes ",NaN,Patrimonial,Ordinario,925.0,Desierto,NaN
23,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",NaN,Patrimonial,Ordinario,3150.0,Desierto,NaN
24,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",NaN,Patrimonial,Ordinario,3150.0,Desierto,NaN
25,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",NaN,Patrimonial,Ordinario,3150.0,Desierto,NaN
26,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",NaN,Patrimonial,Ordinario,3150.0,Desierto,NaN
27,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",NaN,Patrimonial,Ordinario,25500.0,Desierto,NaN
28,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",NaN,Patrimonial,Ordinario,5000.0,Desierto,NaN
29,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",NaN,Patrimonial,Ordinario,5000.0,Desierto,NaN
30,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",NaN,Patrimonial,Ordinario,5000.0,Desierto,NaN
31,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",NaN,Patrimonial,Ordinario,5000.0,Desierto,NaN
32,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",NaN,Patrimonial,Ordinario,4900.0,Desierto,NaN
33,06/22,"Concesión demanial para el uso, disfrute y explotación de dieciocho unidades comerciales ( puestos y locales ) en el Mercado Municipal de Babel, dividido en quince lotes ",NaN,Patrimonial,Ordinario,4900.0,Desierto,NaN
34,05/22,"Concesión demanial para el uso, disfrute y explotación de ocho (8) unidades comerciales ( puestos ) en el Mercado Municipal Central de Alicante, dividido en ocho lotes",NaN,Patrimonial,Ordinario,7850.0,Desierto,NaN
35,05/22,"Concesión demanial para el uso, disfrute y explotación de ocho (8) unidades comerciales ( puestos ) en el Mercado Municipal Central de Alicante, dividido en ocho lotes",NaN,Patrimonial,Ordinario,11150.0,Desierto,NaN
36,05/22,"Concesión demanial para el uso, disfrute y explotación de ocho (8) unidades comerciales ( puestos ) en el Mercado Municipal Central de Alicante, dividido en ocho lotes",NaN,Patrimonial,Ordinario,8700.0,Desierto,NaN
37,17/22,Servicio de mantenimiento de los sistemas de almacenamiento de datos de los Centros de Datos Municipales,NaN,Servicios,Ordinario,51791.39,Desierto,NaN
38,21/22,"Actividades educativas y formativas del Centro Educativo de Recursos de Consumo de Alicante, en los Centros Escolares y para el público adulto",NaN,Servicios,Ordinario,28576.5,Desierto,NaN
39,32/22,"Servicio de creación y ejecución del programa ""Residencias creativas en las Cigarreras"", cofinanciado por el Fondo Europeo de Desarrollo Regional (FEDER), dentro del eje 12 ""Desarrollo Urbano"" del Programa Operativo de Crecimiento Sostenible (EDUSI), para la programación 2014-2020. Una manera de hacer Europa.",NaN,Servicios,Ordinario,34548.74,Desierto,NaN
40,44/22,"Gestión y ejecución del ""Programa de acciones culturales EDUSI-PANORAMA Las Cigarreras"", cofinanciado por el Fondo Europeo de Desarrollo Regional (FEDER), dentro del Eje 12 ""Desarrollo Urbano"" del Programa Operativo de Crecimiento Sostenible, para la programación 2014-2020. Una manera de hacer Europa.",NaN,Servicios,Ordinario,127534.0,Desierto,NaN
41,05/22,"Concesión demanial para el uso, disfrute y explotación de ocho (8) unidades comerciales ( puestos ) en el Mercado Municipal Central de Alicante, dividido en ocho lotes",NaN,Patrimonial,Ordinario,6500.0,Desierto,NaN
42,38/22,"Servicio de asistencia técnica a los técnicos municipales para la redacción del documento Borrador del PGE + Documento Inicial  Estratégico, necesario para iniciar el procedimiento de aprobación del Plan General Estructura. Dividido en 7 lotes ",NaN,Servicios,Ordinario,49643.4,Desierto,NaN
43,91/22,"Servicios de montaje, desmontaje, almacenamiento, mantenimiento, restauración, iluminación, sonorización y espectáculo inaugural del Portal de Belén Monumental",NaN,Servicios,Ordinario,49000.0,Desierto,NaN
44,86/22,Suministro de material técnico para la Banda Sinfónica Municipal de Música.,NaN,Suministros,Ordinario,74255.1,Desierto,NaN
45,28/19,Suministro de material para los trabajos de mantenimiento de la Concejalía de Infraestructuras (4 lotes),NaN,Suministros,Ordinario,108900.0,Desierto,NaN
46,28/19,Suministro de material para los trabajos de mantenimiento de la Concejalía de Infraestructuras (4 lotes),NaN,Suministros,Ordinario,104720.0,Desierto,NaN
47,28/19,Suministro de material para los trabajos de mantenimiento de la Concejalía de Infraestructuras (4 lotes),NaN,Suministros,Ordinario,106480.0,Desierto,NaN
48,81/22,Concesión demanial para la explotación del servicio de máquinas expendedoras de bebidas y alimentos sólidos en instalaciones deportivas municipales gestionadas por la Concejalía de Deportes,NaN,Patrimonial,Ordinario,44155.78,Desierto,NaN
49,47/22,"Servicio para la gestión y ejecución del ""Programa Edusiart. Un proyecto de cambio - Panorama las Cigarreras"", cofinanciado por el Fondo Europeo de Desarrollo Regional (FEDER), dentro del Eje 12 ""Desarrollo Urbano"" del Programa Operativo de Crecimiento Sostenible, para la programación 2014-2020. Una manera de hacer Europa.",NaN,Servicios,Ordinario,100430.0,Desierto,NaN
50,98/22,"Equipamiento técnico para la sala Caja Negra del centro cultural Las Cigarreras. Este contrato se enmarca dentro de la consecución de los objetivos e hitos del Plan de Recuperación, Transformación y Resiliencia del Gobierno de España. ",NaN,Suministros,Ordinario,12100.0,Desierto,NaN
51,40/22,Concesión demanial para la explotación del Servicio de Quiosco-bar en diferentes instalaciones deportivas municipales.,NaN,Patrimonial,Ordinario,5387.14,Desierto,NaN
52,40/22,Concesión demanial para la explotación del Servicio de Quiosco-bar en diferentes instalaciones deportivas municipales.,NaN,Patrimonial,Ordinario,5533.01,Desierto,NaN
53,40/22,Concesión demanial para la explotación del Servicio de Quiosco-bar en diferentes instalaciones deportivas municipales.,NaN,Patrimonial,Ordinario,9054.02,Desierto,NaN
54,111/22,"Contrato de obras de reposición de escaleras de acceso al barranco de Orgegia, en Alicante. ",NaN,Obras,Ordinario,120734.85,Desierto,NaN
55,79/22,Servicio de gestión y ejecución de las actividades formativas para familias,NaN,Servicios,Ordinario,79811.6,Desierto,NaN
56,96/22,Suministro de material inventariable para la organización de aquellos eventos y pruebas deportivas que tengan lugar en la vía pública de la ciudad de Alicante. Dividido en 3 lotes.,NaN,Suministros,Ordinario,49676.55,Desierto,NaN
57,103/22,Servicio de mantenimiento de pavimentos deportivos en la ciudad de Alicante por lotes. Lote 1: Céspedes artificiales (fútbol y padel) y otros pavimentos deportivos. Lote 2: Céspedes naturales y zonas verdes en dependencias deportivas. ,NaN,Servicios,Ordinario,763657.55,Desierto,NaN
58,103/22,Servicio de mantenimiento de pavimentos deportivos en la ciudad de Alicante por lotes. Lote 1: Céspedes artificiales (fútbol y padel) y otros pavimentos deportivos. Lote 2: Céspedes naturales y zonas verdes en dependencias deportivas. ,NaN,Servicios,Ordinario,1460354.22,Desierto,NaN
